,Nome,Idade,Posicao,Media,Potencial,Time,Salario,Total_Pontos
1046, N. Madueke,18,RM,72,87,PSV,€5K,1792
1047, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1048, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1049, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1050, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1051, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1052, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1053, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1054, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1055, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1056, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1057, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1058, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1059, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1060, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1061, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1062, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1063, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1064, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1065, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1066, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1067, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1068, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1069, Antony,20,RW,79,88,Ajax,€17K,1939
1070, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1071, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1072, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1073, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1074, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1075, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1076, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1077, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1078, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1079, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1080, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1081, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1082, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1083, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1084, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1085, S. Córdova,23,LM,75,83,Club América,€30K,1940
1086, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1087, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1088, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1089, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1090, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1091, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1092, Nanu,26,RB,73,76,FC Porto,€10K,1969
1093, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1094, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1095, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1096, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1097, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1098, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1099, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1100, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1101, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1102, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1103, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1104, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1105, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1106, N. Madueke,18,RM,72,87,PSV,€5K,1792
1107, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1108, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1109, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1110, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1111, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1112, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1113, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1114, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1115, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1116, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1117, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1118, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1119, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1120, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1121, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1122, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1123, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1124, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1125, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1126, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1127, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1128, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1129, Antony,20,RW,79,88,Ajax,€17K,1939
1130, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1131, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1132, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1133, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1134, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1135, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1136, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1137, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1138, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1139, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1140, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1141, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1142, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1143, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1144, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1145, S. Córdova,23,LM,75,83,Club América,€30K,1940
1146, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1147, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1148, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1149, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1150, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1151, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1152, Nanu,26,RB,73,76,FC Porto,€10K,1969
1153, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1154, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1155, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1156, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1157, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1158, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1159, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1160, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1161, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1162, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1163, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1164, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1165, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1166, N. Madueke,18,RM,72,87,PSV,€5K,1792
1167, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1168, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1169, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1170, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1171, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1172, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1173, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1174, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1175, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1176, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1177, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1178, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1179, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1180, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1181, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1182, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1183, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1184, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1185, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1186, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1187, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1188, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1189, Antony,20,RW,79,88,Ajax,€17K,1939
1190, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1191, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1192, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1193, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1194, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1195, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1196, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1197, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1198, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1199, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1200, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1201, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1202, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1203, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1204, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1205, S. Córdova,23,LM,75,83,Club América,€30K,1940
1206, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1207, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1208, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1209, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1210, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1211, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1212, Nanu,26,RB,73,76,FC Porto,€10K,1969
1213, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1214, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1215, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1216, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1217, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1218, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1219, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1220, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1221, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1222, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1223, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1224, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1225, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1226, N. Madueke,18,RM,72,87,PSV,€5K,1792
1227, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1228, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1229, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1230, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1231, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1232, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1233, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1234, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1235, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1236, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1237, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1238, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1239, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1240, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1241, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1242, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1243, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1244, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1245, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1246, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1247, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1248, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1249, Antony,20,RW,79,88,Ajax,€17K,1939
1250, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1251, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1252, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1253, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1254, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1255, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1256, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1257, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1258, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1259, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1260, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1261, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1262, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1263, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1264, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1265, S. Córdova,23,LM,75,83,Club América,€30K,1940
1266, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1267, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1268, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1269, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1270, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1271, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1272, Nanu,26,RB,73,76,FC Porto,€10K,1969
1273, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1274, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1275, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1276, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1277, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1278, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1279, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1280, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1281, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1282, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1283, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1284, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1285, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1286, N. Madueke,18,RM,72,87,PSV,€5K,1792
1287, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1288, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1289, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1290, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1291, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1292, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1293, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1294, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1295, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1296, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1297, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1298, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1299, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1300, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1301, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1302, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1303, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1304, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1305, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1306, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1307, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1308, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1309, Antony,20,RW,79,88,Ajax,€17K,1939
1310, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1311, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1312, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1313, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1314, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1315, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1316, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1317, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1318, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1319, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1320, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1321, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1322, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1323, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1324, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1325, S. Córdova,23,LM,75,83,Club América,€30K,1940
1326, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1327, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1328, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1329, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1330, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1331, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1332, Nanu,26,RB,73,76,FC Porto,€10K,1969
1333, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1334, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1335, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1336, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1337, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1338, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1339, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1340, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1341, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1342, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1343, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1344, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1345, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1346, N. Madueke,18,RM,72,87,PSV,€5K,1792
1347, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1348, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1349, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1350, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1351, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1352, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1353, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1354, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1355, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1356, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1357, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1358, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1359, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1360, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1361, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1362, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1363, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1364, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1365, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1366, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1367, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1368, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1369, Antony,20,RW,79,88,Ajax,€17K,1939
1370, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1371, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1372, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1373, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1374, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1375, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1376, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1377, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1378, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1379, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1380, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1381, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1382, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1383, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1384, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1385, S. Córdova,23,LM,75,83,Club América,€30K,1940
1386, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1387, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1388, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1389, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1390, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1391, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1392, Nanu,26,RB,73,76,FC Porto,€10K,1969
1393, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1394, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1395, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1396, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1397, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1398, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1399, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1400, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1401, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1402, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1403, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1404, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1405, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
1406, N. Madueke,18,RM,72,87,PSV,€5K,1792
1407, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
1408, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
1409, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
1410, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
1411, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
1412, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
1413, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
1414, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
1415, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
1416, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
1417, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
1418, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
1419, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1420, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1421, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1422, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1423, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1424, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1425, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1426, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1427, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1428, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1429, Antony,20,RW,79,88,Ajax,€17K,1939
1430, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1431, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1432, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1433, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1434, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1435, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1436, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1437, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1438, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1439, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1440, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1441, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1442, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1443, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1444, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1445, S. Córdova,23,LM,75,83,Club América,€30K,1940
1446, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1447, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1448, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
